location,country_code,status,error_message
Malmöavdelningen,,ZERO_RESULTS,
Malmöhus Län,SWE,ZERO_RESULTS,
lo,,ZERO_RESULTS,
Åker,,ZERO_RESULTS,
Stockholms rådhusrätt,,ZERO_RESULTS,
Sovjet,None,ZERO_RESULTS,
Argent,ARG,ZERO_RESULTS,
null,null,ZERO_RESULTS,
i disponibilitet,,ZERO_RESULTS,
Medelpad,,ZERO_RESULTS,
grannländerna,None,ZERO_RESULTS,
Mass.,USA,ZERO_RESULTS,
Sydpolartrakten,ATA,ZERO_RESULTS,
"Långelanda, Göteborgs och Bohus Län",,ZERO_RESULTS,
Ceza,,ZERO_RESULTS,
Anatolien,None,ZERO_RESULTS,
Ceza,ZAF,ZERO_RESULTS,
Syd-Rhodesia,None,ZERO_RESULTS,
östra Småland,,ZERO_RESULTS,
"Morlanda, Bohuslän",,ZERO_RESULTS,
Sinedslätten,,ZERO_RESULTS,
svenska polarexpeditionen,SWE,ZERO_RESULTS,
Sya,,ZERO_RESULTS,
Sala landsförsamling,,ZERO_RESULTS,
"S:t Peter, Minn.",USA,ZERO_RESULTS,
"Mjälldrunga, Älvsborgs Län",,ZERO_RESULTS,
"Mo, Älvsborgs Län",,ZERO_RESULTS,
olika platser,,ZERO_RESULTS,
Sihlm,,ZERO_RESULTS,
Abessinien,null,ZERO_RESULTS,
ett flertal städer,,ZERO_RESULTS,
ett flertal utländska järnvägskonferenser,None,ZERO_RESULTS,
mellansverige,,ZERO_RESULTS,
Dalmatien,None,ZERO_RESULTS,
Mandschuriet,None,ZERO_RESULTS,
"Marklanda, Räppe",,ZERO_RESULTS,
Alby,,ZERO_RESULTS,
Alpländerna,None,ZERO_RESULTS,
"Mamre, Sala",,ZERO_RESULTS,
Arabstaterna,None,ZERO_RESULTS,
samma distrikt,,ZERO_RESULTS,
Domsjöverken,,ZERO_RESULTS,
riksdagen,,ZERO_RESULTS,
Moss,NOR,ZERO_RESULTS,
Lule lappmarker,SWE,ZERO_RESULTS,
Donau- och Balkanländerna,,ZERO_RESULTS,
Östersjöstaterna,None,ZERO_RESULTS,
S,,ZERO_RESULTS,
"Böle, Teg",,ZERO_RESULTS,
Rörstrand,,ZERO_RESULTS,
uti,,ZERO_RESULTS,
Rönö,SWE,ZERO_RESULTS,
unknown,unknown,ZERO_RESULTS,
Murmankusten,RUS,ZERO_RESULTS,
Aska,SWE,ZERO_RESULTS,
Asine,GRC,ZERO_RESULTS,
världen,None,ZERO_RESULTS,
utrikes,null,ZERO_RESULTS,
Balsgård,,ZERO_RESULTS,
Balticum,LVA,ZERO_RESULTS,
västra distriktet,,ZERO_RESULTS,
unknown,,ZERO_RESULTS,
Möre,,ZERO_RESULTS,
Nordpolen,None,ZERO_RESULTS,
Nordrhodesia,,ZERO_RESULTS,
Älvsborgs Län,SWE,ZERO_RESULTS,
Boo,,ZERO_RESULTS,
Boninöarna,None,ZERO_RESULTS,
Boninöarna,JPN,ZERO_RESULTS,
Reinach-Basel,,EXCEPTION,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))"
Reijmyra,,ZERO_RESULTS,
Bjärsby,,ZERO_RESULTS,
"Norum, Göteborgs och Bohus Län",,ZERO_RESULTS,
Nubien,string,ZERO_RESULTS,
Ramdala,,EXCEPTION,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))"
"Barksäter, Forsabro",,ZERO_RESULTS,
Puget Sound Marine Station,None,ZERO_RESULTS,
Pudukotah,,ZERO_RESULTS,
Okänt,NA,ZERO_RESULTS,
Orienten,,ZERO_RESULTS,
Ornö,,ZERO_RESULTS,
Orrefors,SWE,ZERO_RESULTS,
Bergslund,,ZERO_RESULTS,
St,,ZERO_RESULTS,
Bergslagsdistriktet,,ZERO_RESULTS,
Providence,,ZERO_RESULTS,
"Ås, Skaraborgs Län",,ZERO_RESULTS,
Perevolotjna,UKR,ZERO_RESULTS,
Bistagården,,ZERO_RESULTS,
Stadion,SWE,ZERO_RESULTS,
"Oscarsberg, Natal",,ZERO_RESULTS,
Odli,,ZERO_RESULTS,
